Date,Close
1/2/2018 16:00:00,3.86
1/3/2018 16:00:00,3.83
1/4/2018 16:00:00,3.89
1/5/2018 16:00:00,3.74
1/8/2018 16:00:00,3.88
1/9/2018 16:00:00,3.89
1/10/2018 16:00:00,3.9
1/11/2018 16:00:00,4.13
1/12/2018 16:00:00,3.91
1/16/2018 16:00:00,3.91
1/17/2018 16:00:00,3.8
1/18/2018 16:00:00,3.66
1/19/2018 16:00:00,3.98
1/22/2018 16:00:00,3.77
1/23/2018 16:00:00,3.67
1/24/2018 16:00:00,3.71
1/25/2018 16:00:00,3.76
1/26/2018 16:00:00,3.66
1/29/2018 16:00:00,3.36
1/30/2018 16:00:00,3.25
1/31/2018 16:00:00,3.35
2/1/2018 16:00:00,3.21
2/2/2018 16:00:00,3.16
2/5/2018 16:00:00,3.24
2/6/2018 16:00:00,3.41
2/7/2018 16:00:00,3.21
2/8/2018 16:00:00,3.03
2/9/2018 16:00:00,3.15
2/12/2018 16:00:00,3.01
2/13/2018 16:00:00,3.04
2/14/2018 16:00:00,3.04
2/15/2018 16:00:00,2.87
2/16/2018 16:00:00,2.89
2/20/2018 16:00:00,2.86
2/21/2018 16:00:00,2.86
2/22/2018 16:00:00,2.86
2/23/2018 16:00:00,2.88
2/26/2018 16:00:00,2.88
2/27/2018 16:00:00,2.85
2/28/2018 16:00:00,2.8
3/1/2018 16:00:00,2.96
3/2/2018 16:00:00,2.96
3/5/2018 16:00:00,3
3/6/2018 16:00:00,2.9
3/7/2018 16:00:00,3
3/8/2018 16:00:00,3.04
3/9/2018 16:00:00,3.09
3/12/2018 16:00:00,3.09
3/13/2018 16:00:00,3.23
3/14/2018 16:00:00,3.01
3/15/2018 16:00:00,3.09
3/16/2018 16:00:00,3.38
3/19/2018 16:00:00,3.11
3/20/2018 16:00:00,3.09
3/21/2018 16:00:00,3.15
3/22/2018 16:00:00,3.12
3/23/2018 16:00:00,3.2
3/26/2018 16:00:00,3.4
3/27/2018 16:00:00,3.08
3/28/2018 16:00:00,3.16
3/29/2018 16:00:00,3.25
4/2/2018 16:00:00,3.3
4/3/2018 16:00:00,3.33
4/4/2018 16:00:00,3.43
4/5/2018 16:00:00,3.39
4/6/2018 16:00:00,3.14
4/9/2018 16:00:00,3.19
4/10/2018 16:00:00,3.16
4/11/2018 16:00:00,3
4/12/2018 16:00:00,3
4/13/2018 16:00:00,2.97
4/16/2018 16:00:00,2.9
4/17/2018 16:00:00,2.9
4/18/2018 16:00:00,2.8
4/19/2018 16:00:00,2.8
4/20/2018 16:00:00,2.81
4/23/2018 16:00:00,2.86
4/24/2018 16:00:00,2.9
4/25/2018 16:00:00,3.01
4/26/2018 16:00:00,2.83
4/27/2018 16:00:00,2.85
4/30/2018 16:00:00,2.81
5/1/2018 16:00:00,2.98
5/2/2018 16:00:00,2.88
5/3/2018 16:00:00,2.82
5/4/2018 16:00:00,2.71
5/7/2018 16:00:00,2.71
5/8/2018 16:00:00,2.69
5/9/2018 16:00:00,2.85
5/10/2018 16:00:00,2.72
5/11/2018 16:00:00,2.96
5/14/2018 16:00:00,2.8
5/15/2018 16:00:00,2.84
5/16/2018 16:00:00,2.74
